shape,kernel,latency_ms,tflops,pct_sol,gb_s,vs_torch
512x512x512,torch,0.022496,11.93,0.2174,139.8,1.00
512x512x512,cublas,0.022528,11.92,0.2170,139.6,1.00
512x512x512,naive,0.102080,2.63,0.0479,30.8,0.22
512x512x512,tiled,0.085696,3.13,0.0571,36.7,0.26
512x512x512,1D_coarsening,0.059104,4.54,0.0827,53.2,0.38
512x512x512,2D_coarsening,0.109568,2.45,0.0446,28.7,0.21
1024x1024x1024,torch,0.088096,24.38,0.4440,142.8,1.00
1024x1024x1024,cublas,0.088096,24.38,0.4440,142.8,1.00
1024x1024x1024,naive,0.634464,3.38,0.0617,19.8,0.14
1024x1024x1024,tiled,0.519872,4.13,0.0752,24.2,0.17
1024x1024x1024,1D_coarsening,0.220896,9.72,0.1771,57.0,0.40
1024x1024x1024,2D_coarsening,0.200704,10.70,0.1949,62.7,0.44
2048x2048x2048,torch,0.530960,32.36,0.5894,94.8,1.00
2048x2048x2048,cublas,0.546848,31.42,0.5722,92.0,0.97
2048x2048x2048,naive,5.186544,3.31,0.0603,9.7,0.10
2048x2048x2048,tiled,3.860048,4.45,0.0811,13.0,0.14
2048x2048x2048,1D_coarsening,1.404608,12.23,0.2228,35.8,0.38
2048x2048x2048,2D_coarsening,1.124032,15.28,0.2784,44.8,0.47
4096x4096x4096,torch,4.526144,30.37,0.5531,44.5,1.00
4096x4096x4096,cublas,4.544048,30.25,0.5509,44.3,1.00
4096x4096x4096,naive,,,,,
4096x4096x4096,tiled,32.023552,4.29,0.0782,6.3,0.14
4096x4096x4096,1D_coarsening,11.325440,12.14,0.2210,17.8,0.40
4096x4096x4096,2D_coarsening,7.753712,17.73,0.3229,26.0,0.58
