shape,kernel,latency_ms,tflops,gb_s,vs_torch
512x512x512,torch,0.031744,8.46,99.1,1.00
512x512x512,naive,0.110592,2.43,28.4,0.29
512x512x512,tiled_16,0.073728,3.64,42.7,0.43
512x512x512,tiled_32,0.077824,3.45,40.4,0.41
512x512x512,coarsening_16x4,0.119808,2.24,26.3,0.26
512x512x512,coarsening_32x4,0.125952,2.13,25.0,0.25
1024x1024x1024,torch,0.134144,16.01,93.8,1.00
1024x1024x1024,naive,0.660480,3.25,19.1,0.20
1024x1024x1024,tiled_16,0.476160,4.51,26.4,0.28
1024x1024x1024,tiled_32,0.440320,4.88,28.6,0.30
1024x1024x1024,coarsening_16x4,0.523264,4.10,24.0,0.26
1024x1024x1024,coarsening_32x4,0.522240,4.11,24.1,0.26
2048x2048x2048,torch,0.975872,17.60,51.6,1.00
2048x2048x2048,naive,4.763648,3.61,10.6,0.20
2048x2048x2048,tiled_16,3.656704,4.70,13.8,0.27
2048x2048x2048,tiled_32,3.208192,5.36,15.7,0.30
2048x2048x2048,coarsening_16x4,3.412992,5.03,14.7,0.29
2048x2048x2048,coarsening_32x4,3.281920,5.23,15.3,0.30
4096x4096x4096,torch,7.574528,18.14,26.6,1.00
4096x4096x4096,naive,,,,
4096x4096x4096,tiled_16,30.537727,4.50,6.6,0.25
4096x4096x4096,tiled_32,27.929600,4.92,7.2,0.27
4096x4096x4096,coarsening_16x4,29.267967,4.70,6.9,0.26
4096x4096x4096,coarsening_32x4,26.162176,5.25,7.7,0.29
