shape,kernel,latency_ms,tflops,pct_sol,gb_s,vs_torch
2048x2048x2048,torch,0.114688,149.80,0.4801,219.4,1.00
2048x2048x2048,tilelang,0.695296,24.71,0.0792,36.2,0.16
2048x2048x2048,triton_naive,0.117760,145.89,0.4676,213.7,0.97
2048x2048x2048,2D_coarsening,5.664768,3.03,0.0097,4.4,0.02
4096x4096x4096,torch,0.583680,235.47,0.7547,172.5,1.00
4096x4096x4096,tilelang,4.511744,30.46,0.0976,22.3,0.13
4096x4096x4096,triton_naive,1.149952,119.52,0.3831,87.5,0.51
4096x4096x4096,2D_coarsening,36.481535,3.77,0.0121,2.8,0.02
8192x8192x8192,torch,4.576256,240.26,0.7701,88.0,1.00
8192x8192x8192,tilelang,33.356800,32.96,0.1056,12.1,0.14
8192x8192x8192,triton_naive,16.292864,67.48,0.2163,24.7,0.28
8192x8192x8192,2D_coarsening,275.206146,4.00,0.0128,1.5,0.02
