shape,kernel,latency_ms,tflops,pct_sol,gb_s,vs_torch
2048x2048x2048,torch,0.027424,626.45,0.6334,917.7,1.00
2048x2048x2048,tilelang,0.379872,45.23,0.0457,66.2,0.07
2048x2048x2048,triton_naive,0.073664,233.22,0.2358,341.6,0.37
2048x2048x2048,2D_coarsening,2.669088,6.44,0.0065,9.4,0.01
4096x4096x4096,torch,0.181408,757.62,0.7660,554.9,1.00
4096x4096x4096,tilelang,3.092448,44.44,0.0449,32.6,0.06
4096x4096x4096,triton_naive,0.551904,249.03,0.2518,182.4,0.33
4096x4096x4096,2D_coarsening,21.307536,6.45,0.0065,4.7,0.01
8192x8192x8192,torch,1.548400,710.10,0.7180,260.0,1.00
8192x8192x8192,tilelang,23.131473,47.53,0.0481,17.4,0.07
8192x8192x8192,triton_naive,6.342432,173.36,0.1753,63.5,0.24
8192x8192x8192,2D_coarsening,168.704102,6.52,0.0066,2.4,0.01
