shape,kernel,latency_ms,tflops,gb_s,vs_torch.add
1048576,torch.add,0.014336,0.07,877.7,1.00
1048576,cuda,0.014336,0.07,877.7,1.00
1048576,cuda_float4,0.014336,0.07,877.7,1.00
1048576,triton,0.014336,0.07,877.7,1.00
2097152,torch.add,0.022528,0.09,1117.1,1.00
2097152,cuda,0.024576,0.09,1024.0,0.92
2097152,cuda_float4,0.022528,0.09,1117.1,1.00
2097152,triton,0.022528,0.09,1117.1,1.00
4194304,torch.add,0.038912,0.11,1293.5,1.00
4194304,cuda,0.041984,0.10,1198.8,0.93
4194304,cuda_float4,0.038912,0.11,1293.5,1.00
4194304,triton,0.037888,0.11,1328.4,1.03
8388608,torch.add,0.068608,0.12,1467.2,1.00
8388608,cuda,0.071680,0.12,1404.3,0.96
8388608,cuda_float4,0.068608,0.12,1467.2,1.00
8388608,triton,0.068608,0.12,1467.2,1.00
16777216,torch.add,0.126976,0.13,1585.5,1.00
16777216,cuda,0.131072,0.13,1536.0,0.97
16777216,cuda_float4,0.126976,0.13,1585.5,1.00
16777216,triton,0.126976,0.13,1585.5,1.00
33554432,torch.add,0.243712,0.14,1652.2,1.00
33554432,cuda,0.249856,0.13,1611.5,0.98
33554432,cuda_float4,0.244736,0.14,1645.3,1.00
33554432,triton,0.243712,0.14,1652.2,1.00
