shape,kernel,latency_ms,peak_mem_bytes,tflops,gb_s,vs_torch.add,sdpa_backend,status
1048576,torch.add,0.015360,4194304,0.07,819.2,1.00,,ok
1048576,cuda,0.014336,4194304,0.07,877.7,1.07,,ok
1048576,cuda_float4,0.015360,4194304,0.07,819.2,1.00,,ok
1048576,triton,0.015360,4194304,0.07,819.2,1.00,,ok
2097152,torch.add,0.024576,8388608,0.09,1024.0,1.00,,ok
2097152,cuda,0.025600,8388608,0.08,983.0,0.96,,ok
2097152,cuda_float4,0.024576,8388608,0.09,1024.0,1.00,,ok
2097152,triton,0.024576,8388608,0.09,1024.0,1.00,,ok
4194304,torch.add,0.040960,16777216,0.10,1228.8,1.00,,ok
4194304,cuda,0.044032,16777216,0.10,1143.1,0.93,,ok
4194304,cuda_float4,0.040960,16777216,0.10,1228.8,1.00,,ok
4194304,triton,0.040960,16777216,0.10,1228.8,1.00,,ok
8388608,torch.add,0.070656,33554432,0.12,1424.7,1.00,,ok
8388608,cuda,0.074752,33554432,0.11,1346.6,0.95,,ok
8388608,cuda_float4,0.071680,33554432,0.12,1404.3,0.99,,ok
8388608,triton,0.070656,33554432,0.12,1424.7,1.00,,ok
16777216,torch.add,0.129024,67108864,0.13,1560.4,1.00,,ok
16777216,cuda,0.138240,67108864,0.12,1456.4,0.93,,ok
16777216,cuda_float4,0.130048,67108864,0.13,1548.1,0.99,,ok
16777216,triton,0.129024,67108864,0.13,1560.4,1.00,,ok
33554432,torch.add,0.247808,134217728,0.14,1624.9,1.00,,ok
33554432,cuda,0.263168,134217728,0.13,1530.0,0.94,,ok
33554432,cuda_float4,0.247808,134217728,0.14,1624.9,1.00,,ok
33554432,triton,0.247808,134217728,0.14,1624.9,1.00,,ok
