Annotation,Metric,n,AvgValue,StdDev,MinValue,MaxValue,NumRuns,Kernel,GPU,Host,ComputeClock,MemoryClock,Unit,CI95_Lower,CI95_Upper,RelativeStdDevPct,StableMeasurement,Normalized,Geomean
torch.add,gpu__time_duration.sum,1048576,18803.2,210.56875361743496,18560.0,19104.0,5,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,18618.628349565814,18987.771650434188,1.119855948016481,True,False,126543.45495430958
torch.add,gpu__time_duration.sum,2097152,38182.4,188.50145888029613,37888.0,38336.0,5,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,38017.17118624163,38347.628813758376,0.49368677422135887,True,False,126543.45495430958
torch.add,gpu__time_duration.sum,3145728,56608.0,363.45013413121774,56256.0,57216.0,5,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,56289.42191111126,56926.57808888874,0.6420472974336097,True,False,126543.45495430958
torch.add,gpu__time_duration.sum,4194304,74873.6,313.86111578212314,74592.0,75328.0,5,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,74598.48860216996,75148.71139783005,0.4191879591499849,True,False,126543.45495430958
torch.add,gpu__time_duration.sum,5242880,92934.4,339.7128198935106,92416.0,93344.0,5,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,92636.62858442086,93232.17141557913,0.3655404456191793,True,False,126543.45495430958
torch.add,gpu__time_duration.sum,6291456,111417.6,99.6634336153447,111296.0,111520.0,5,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,111330.2411487255,111504.95885127451,0.08945035040724687,True,False,126543.45495430958
torch.add,gpu__time_duration.sum,7340032,129888.0,245.79666393179545,129536.0,130176.0,5,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,129672.5497247159,130103.4502752841,0.18923739216232097,True,False,126543.45495430958
torch.add,gpu__time_duration.sum,8388608,148748.8,750.6711663571455,147840.0,149696.0,5,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,148090.80771136432,149406.79228863565,0.5046569561281472,True,False,126543.45495430958
torch.add,gpu__time_duration.sum,9437184,167116.8,573.1484973372965,166496.0,167968.0,5,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,166614.41319151074,167619.18680848923,0.3429628244062216,True,False,126543.45495430958
torch.add,gpu__time_duration.sum,10485760,185062.4,445.36367162129415,184352.0,185568.0,5,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,184672.02152977398,185452.778470226,0.24065594719472685,True,False,126543.45495430958
torch.add,gpu__time_duration.sum,11534336,203340.8,501.18579389284196,202656.0,203840.0,5,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,202901.49128223537,203780.1087177646,0.24647576575524535,True,False,126543.45495430958
torch.add,gpu__time_duration.sum,12582912,222329.6,671.0087927888868,221344.0,223072.0,5,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,221741.434860523,222917.765139477,0.30180812306993166,True,False,126543.45495430958
torch.add,gpu__time_duration.sum,13631488,239948.8,1062.9107206158003,239008.0,241504.0,5,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,239017.1176748784,240880.4823251216,0.4429739680364313,True,False,126543.45495430958
torch.add,gpu__time_duration.sum,14680064,258924.8,592.475484724898,258240.0,259680.0,5,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,258405.47234013196,259444.127659868,0.2288214511413731,True,False,126543.45495430958
torch.add,gpu__time_duration.sum,15728640,276716.8,724.6428085615732,275936.0,277472.0,5,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,276081.6225728948,277351.9774271052,0.2618716350295946,True,False,126543.45495430958
torch.add,gpu__time_duration.sum,16777216,295456.0,775.2986521334826,294560.0,296640.0,5,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,294776.4207682985,296135.5792317015,0.26240748271603304,True,False,126543.45495430958
vecadd_cuda,gpu__time_duration.sum,1048576,19308.8,157.74409656148805,19040.0,19424.0,5,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,19170.531202999373,19447.068797000626,0.8169544278333613,True,False,127198.13412519648
vecadd_cuda,gpu__time_duration.sum,2097152,38880.0,242.65201420964962,38688.0,39264.0,5,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,38667.306131729194,39092.693868270806,0.6241049748190577,True,False,127198.13412519648
vecadd_cuda,gpu__time_duration.sum,3145728,57465.6,1904.6587095855252,56320.0,60832.0,5,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,55796.093031360455,59135.10696863954,3.3144328251780637,False,False,127198.13412519648
vecadd_cuda,gpu__time_duration.sum,4194304,75712.0,254.99803920814776,75392.0,76064.0,5,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,75488.48436367896,75935.51563632104,0.33680003065319597,True,False,127198.13412519648
vecadd_cuda,gpu__time_duration.sum,5242880,93491.2,437.3593488197092,93120.0,94080.0,5,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,93107.83762805408,93874.56237194591,0.4678080384246958,True,False,127198.13412519648
