Annotation,Value,Metric,Kernel,GPU,Host,ComputeClock,MemoryClock,Unit,n
torch.add,18688.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,1048576
torch.add,19104.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,1048576
torch.add,18912.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,1048576
torch.add,18752.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,1048576
torch.add,18560.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,1048576
torch.add,38336.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,2097152
torch.add,38112.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,2097152
torch.add,37888.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,2097152
torch.add,38336.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,2097152
torch.add,38240.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,2097152
torch.add,56256.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,3145728
torch.add,57216.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,3145728
torch.add,56608.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,3145728
torch.add,56512.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,3145728
torch.add,56448.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,3145728
torch.add,75072.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,4194304
torch.add,75328.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,4194304
torch.add,74688.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,4194304
torch.add,74592.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,4194304
torch.add,74688.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,4194304
torch.add,93088.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,5242880
torch.add,92416.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,5242880
torch.add,92896.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,5242880
torch.add,92928.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,5242880
torch.add,93344.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,5242880
torch.add,111360.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,6291456
torch.add,111520.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,6291456
torch.add,111392.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,6291456
torch.add,111520.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,6291456
torch.add,111296.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,6291456
torch.add,130048.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,7340032
torch.add,129536.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,7340032
torch.add,130176.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,7340032
torch.add,129792.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,7340032
torch.add,129888.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,7340032
torch.add,148800.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,8388608
torch.add,149216.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,8388608
torch.add,147840.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,8388608
torch.add,149696.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,8388608
torch.add,148192.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,8388608
torch.add,167968.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,9437184
torch.add,166496.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,9437184
torch.add,166848.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,9437184
torch.add,166880.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,9437184
torch.add,167392.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,9437184
torch.add,184352.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,10485760
torch.add,185568.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,10485760
torch.add,185152.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,10485760
torch.add,185216.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,10485760
torch.add,185024.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,10485760
torch.add,202976.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,11534336
torch.add,203840.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,11534336
torch.add,203584.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,11534336
torch.add,203648.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,11534336
torch.add,202656.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,11534336
torch.add,222496.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,12582912
torch.add,222016.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,12582912
torch.add,221344.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,12582912
torch.add,223072.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,12582912
torch.add,222720.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,12582912
torch.add,239008.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,13631488
torch.add,241504.0,gpu__time_duration.sum,vectorized_elementwise_kernel,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,13631488
